ticker,name,yahoo_ticker
ORCL,ORACLE CORP,ORCL
MSFT,MICROSOFT CORP,MSFT
TROW,T ROWE PRICE GROUP INC,TROW
HON,HONEYWELL INTERNATIONAL INC,HON
ADM,ARCHER DANIELS MIDLAND CO,ADM
FISV,FISERV INC,FISV
CERN,CERNER CORP,CERN
KO,COCA COLA CO,KO
CDNS,CADENCE DESIGN SYSTEMS INC,CDNS
ED,CONSOLIDATED EDISON INC,ED
CELG,CELGENE CORP,CELG
XRAY,DENTSPLY SIRONA INC,XRAY
FAST,FASTENAL COMPANY,FAST
DTE,D T E ENERGY CO,DTE
ETN,EATON CORP PLC,ETN
SIVB,S V B FINANCIAL GROUP,SIVB
XOM,EXXON MOBIL CORP,XOM
MGM,M G M RESORTS INTERNATIONAL,MGM
MXIM,MAXIM INTEGRATED PRODUCTS INC,MXIM
WM,WASTE MANAGEMENT INC DEL,WM
GD,GENERAL DYNAMICS CORP,GD
GE,GENERAL ELECTRIC CO,GE
LH,LABORATORY CORP AMERICA HLDGS,LH
PBCT,PEOPLES UNITED FINANCIAL INC,PBCT
CHTR,CHARTER COMMUNICATIONS INC NEW,CHTR
LYB,LYONDELLBASELL INDUSTRIES N V,LYB
GM,GENERAL MOTORS CO,GM
IR,INGERSOLL RAND PLC,IR
FRC,FIRST REPUBLIC BANK S F NEW,FRC
FLT,FLEETCOR TECHNOLOGIES INC,FLT
IBM,INTERNATIONAL BUSINESS MACHS CO,IBM
NLSN,NIELSEN HOLDINGS PLC,NLSN
KMI,KINDER MORGAN INC,KMI
HCA,H C A HEALTHCARE INC,HCA
HII,HUNTINGTON INGALLS INDS INC,HII
KSU,KANSAS CITY SOUTHERN,KSU
MPC,MARATHON PETROLEUM CORP,MPC
FBHS,FORTUNE BRANDS HOME & SECUR INC,FBHS
XYL,XYLEM INC,XYL
APTV,APTIV PLC,APTV
CPRI,CAPRI HOLDINGS LIMITED,CPRI
TRIP,TRIPADVISOR INC,TRIP
PSX,PHILLIPS 66,PSX
FB,FACEBOOK INC,FB
PNR,PENTAIR PLC,PNR
FANG,DIAMONDBACK ENERGY INC,FANG
ABBV,ABBVIE INC,ABBV
NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,NCLH
ZTS,ZOETIS INC,ZTS
PEP,PEPSICO INC,PEP
MO,ALTRIA GROUP INC,MO
IQV,IQVIA HOLDINGS INC,IQV
COP,CONOCOPHILLIPS,COP
PVH,P V H CORP,PVH
NWSA,NEWS CORP NEW,NWSA
NWS,NEWS CORP NEW,NWS
COTY,COTY INC,COTY
AMGN,AMGEN INC,AMGN
SLB,SCHLUMBERGER LTD,SLB
TWTR,TWITTER INC,TWTR
ALLE,ALLEGION PLC,ALLE
HLT,HILTON WORLDWIDE HOLDINGS INC,HLT
CVX,CHEVRON CORP NEW,CVX
GOOG,ALPHABET INC,GOOG
AAPL,APPLE INC,AAPL
AMAT,APPLIED MATERIALS INC,AMAT
INFO,I H S MARKIT LTD,INFO
ANET,ARISTA NETWORKS INC,ANET
SYF,SYNCHRONY FINANCIAL,SYF
CFG,CITIZENS FINANCIAL GROUP INC,CFG
KEYS,KEYSIGHT TECHNOLOGIES INC,KEYS
MRO,MARATHON OIL CORP,MRO
VMC,VULCAN MATERIALS CO,VMC
KHC,KRAFT HEINZ CO,KHC
FL,FOOT LOCKER INC,FL
PYPL,PAYPAL HOLDINGS INC,PYPL
TXN,TEXAS INSTRUMENTS INC,TXN
HPE,HEWLETT PACKARD ENTERPRISE CO,HPE
EIX,EDISON INTERNATIONAL,EIX
UA,UNDER ARMOUR INC,UA
FTV,FORTIVE CORP,FTV
LW,LAMB WESTON HOLDINGS INC,LW
FTI,TECHNIPFMC PLC,FTI
HSY,HERSHEY CO,HSY
KR,KROGER COMPANY,KR
DD,DUPONT DE NEMOURS INC,DD
CVS,C V S HEALTH CORP,CVS
GIS,GENERAL MILLS INC,GIS
SPGI,S & P GLOBAL INC,SPGI
KMB,KIMBERLY CLARK CORP,KMB
UTX,UNITED TECHNOLOGIES CORP,UTX
LIN,LINDE PLC,LIN
PG,PROCTER & GAMBLE CO,PG
SO,SOUTHERN CO,SO
FOXA,FOX CORP,FOXA
FOX,FOX CORP,FOX
DOW,DOW INC,DOW
CAT,CATERPILLAR INC,CAT
CTVA,CORTEVA INC,CTVA
AMCR,AMCOR PLC,AMCR
CL,COLGATE PALMOLIVE CO,CL
FMC,F M C CORP,FMC
DE,DEERE & CO,DE
BMY,BRISTOL MYERS SQUIBB CO,BMY
WBA,WALGREENS BOOTS ALLIANCE INC,WBA
BA,BOEING CO,BA
IVZ,INVESCO LTD,IVZ
JEF,JEFFERIES FINANCIAL GROUP INC,JEF
ABT,ABBOTT LABORATORIES,ABT
AAL,AMERICAN AIRLINES GROUP INC,AAL
LMT,LOCKHEED MARTIN CORP,LMT
WRK,WESTROCK CO,WRK
NEM,NEWMONT GOLDCORP CORP,NEM
CAH,CARDINAL HEALTH INC,CAH
IP,INTERNATIONAL PAPER CO,IP
EXC,EXELON CORP,EXC
CNP,CENTERPOINT ENERGY INC,CNP
PFE,PFIZER INC,PFE
EMR,EMERSON ELECTRIC CO,EMR
JNJ,JOHNSON & JOHNSON,JNJ
GLW,CORNING INC,GLW
PPG,P P G INDUSTRIES INC,PPG
PPL,P P L CORP,PPL
MMM,3M CO,MMM
MRK,MERCK & CO INC NEW,MRK
MSI,MOTOROLA SOLUTIONS INC,MSI
FE,FIRSTENERGY CORP,FE
CMS,C M S ENERGY CORP,CMS
CHD,CHURCH & DWIGHT INC,CHD
CINF,CINCINNATI FINANCIAL CORP,CINF
WEC,W E C ENERGY GROUP INC,WEC
TXT,TEXTRON INC,TXT
CTAS,CINTAS CORP,CTAS
PEG,PUBLIC SERVICE ENTERPRISE GP IN,PEG
HAL,HALLIBURTON COMPANY,HAL
XEL,X C E L ENERGY INC,XEL
ETR,ENTERGY CORP NEW,ETR
EVRG,EVERGY INC,EVRG
AEP,AMERICAN ELECTRIC POWER CO INC,AEP
NEE,NEXTERA ENERGY INC,NEE
ARNC,ARCONIC INC,ARNC
NOC,NORTHROP GRUMMAN CORP,NOC
RTN,RAYTHEON CO,RTX
AEE,AMEREN CORP,AEE
CMA,COMERICA INC,CMA
OKE,ONEOK INC NEW,OKE
CPB,CAMPBELL SOUP CO,CPB
WHR,WHIRLPOOL CORP,WHR
HRS,HARRIS CORP,HRS
F,FORD MOTOR CO DEL,F
DOV,DOVER CORP,DOV
DIS,DISNEY WALT CO,DIS
L,LOEWS CORP,L
K,KELLOGG CO,K
VAR,VARIAN MEDICAL SYSTEMS INC,VAR
HPQ,H P INC,HPQ
BAX,BAXTER INTERNATIONAL INC,BAX
DUK,DUKE ENERGY CORP NEW,DUK
XRX,XEROX CORP,XRX
PNW,PINNACLE WEST CAPITAL CORP,PNW
APD,AIR PRODUCTS & CHEMICALS INC,APD
VNO,VORNADO REALTY TRUST,VNO
HES,HESS CORP,HES
ALK,ALASKA AIRGROUP INC,ALK
BF,BROWN FORMAN CORP,BF-A
OMC,OMNICOM GROUP INC,OMC
FLS,FLOWSERVE CORP,FLS
HP,HELMERICH & PAYNE INC,HP
HFC,HOLLYFRONTIER CORP,HFC
HRL,HORMEL FOODS CORP,HRL
ATO,ATMOS ENERGY CORP,ATO
MAS,MASCO CORP,MAS
FITB,FIFTH THIRD BANCORP,FITB
NUE,NUCOR CORP,NUE
OXY,OCCIDENTAL PETROLEUM CORP,OXY
RF,REGIONS FINANCIAL CORP NEW,RF
MTB,M & T BANK CORP,MTB
ROL,ROLLINS INC,ROL
SHW,SHERWIN WILLIAMS CO,SHW
BEN,FRANKLIN RESOURCES INC,BEN
AJG,GALLAGHER ARTHUR J & CO,AJG
WMB,WILLIAMS COS,WMB
WFC,WELLS FARGO & CO NEW,WFC
NI,NISOURCE INC,NI
APA,APACHE CORP,APA
BDX,BECTON DICKINSON & CO,BDX
WY,WEYERHAEUSER CO,WY
DXC,D X C TECHNOLOGY CO,DXC
IFF,INTERNATIONAL FLAVORS & FRAG IN,IFF
TJX,T J X COMPANIES INC NEW,TJX
CMI,CUMMINS INC,CMI
PH,PARKER HANNIFIN CORP,PH
PKI,PERKINELMER INC,PKI
SJM,SMUCKER J M CO,SJM
JBHT,HUNT J B TRANSPORT SERVICES INC,JBHT
HBAN,HUNTINGTON BANCSHARES INC,HBAN
SWK,STANLEY BLACK & DECKER INC,SWK
MCD,MCDONALDS CORP,MCD
VFC,V F CORP,VFC
ES,EVERSOURCE ENERGY,ES
TFX,TELEFLEX INC,TFX
AVY,AVERY DENNISON CORP,AVY
ADP,AUTOMATIC DATA PROCESSING INC,ADP
JCI,JOHNSON CONTROLS INTL PLC,JCI
MMC,MARSH & MCLENNAN COS INC,MMC
SWKS,SKYWORKS SOLUTIONS INC,SWKS
CLX,CLOROX CO,CLX
GPC,GENUINE PARTS CO,GPC
HST,HOST HOTELS & RESORTS INC,HST
KLAC,K L A TENCOR CORP,KLAC
JPM,JPMORGAN CHASE & CO,JPM
LRCX,LAM RESH CORP,LRCX
MCO,MOODYS CORP,MCO
HUM,HUMANA INC,HUM
UNP,UNION PACIFIC CORP,UNP
LNC,LINCOLN NATIONAL CORP,LNC
TGT,TARGET CORP,TGT
HRB,BLOCK H & R INC,HRB
BK,BANK OF NEW YORK MELLON CORP,BK
DHR,DANAHER CORP,DHR
LLY,LILLY ELI & CO,LLY
SYY,SYSCO CORP,SYY
MKC,MCCORMICK & CO INC,MKC
RHI,ROBERT HALF INTERNATIONAL INC,RHI
JEC,JACOBS ENGINEERING GROUP INC,JEC
EFX,EQUIFAX INC,EFX
GWW,GRAINGER W W INC,GWW
LEN,LENNAR CORP,LEN
HAS,HASBRO INC,HAS
IPG,INTERPUBLIC GROUP COS INC,IPG
MU,MICRON TECHNOLOGY INC,MU
PHM,PULTE GROUP INC,PHM
WMT,WALMART INC,WMT
CAG,CONAGRA BRANDS INC,CAG
